,subject,block,miniblock,category,eye_cond,img_path,audio_path
49,subj1,1,2,L,C,Stimuli/Images/People/George_W_Bush.jpg,Stimuli/Audio/People/George_W_Bush.wav
50,subj1,1,2,L,C,Stimuli/Images/People/Chris_Evans.jpg,Stimuli/Audio/People/Chris_Evans.wav
51,subj1,1,2,L,C,Stimuli/Images/People/Greta_Thunberg.jpg,Stimuli/Audio/People/Greta_Thunberg.wav
52,subj1,1,2,L,C,Stimuli/Images/People/Rihanna.jpg,Stimuli/Audio/People/Rihanna.wav
53,subj1,1,2,L,C,Stimuli/Images/People/Barack_Obama.jpg,Stimuli/Audio/People/Barack_Obama.wav
54,subj1,1,2,L,C,Stimuli/Images/People/Oprah_Winfrey.jpg,Stimuli/Audio/People/Oprah_Winfrey.wav
55,subj1,1,2,L,C,Stimuli/Images/People/Ilana_Witten.jpg,Stimuli/Audio/People/Ilana_Witten.wav
56,subj1,1,2,L,O,Stimuli/Images/People/Michelle_Yeoh.jpg,Stimuli/Audio/People/Michelle_Yeoh.wav
57,subj1,1,2,L,O,Stimuli/Images/People/Sam_Wang.jpg,Stimuli/Audio/People/Sam_Wang.wav
58,subj1,1,2,L,O,Stimuli/Images/People/Angelina_Jolie.jpg,Stimuli/Audio/People/Angelina_Jolie.wav
59,subj1,1,2,L,O,Stimuli/Images/People/Mala_Murthy.jpg,Stimuli/Audio/People/Mala_Murthy.wav
60,subj1,1,2,L,O,Stimuli/Images/People/Justin_Bieber.jpg,Stimuli/Audio/People/Justin_Bieber.wav
61,subj1,1,2,L,O,Stimuli/Images/People/Tim_Buschman.jpg,Stimuli/Audio/People/Tim_Buschman.wav
62,subj1,1,2,L,O,Stimuli/Images/People/Hillary_Clinton.jpg,Stimuli/Audio/People/Hillary_Clinton.wav
63,subj1,1,2,L,O,Stimuli/Images/People/Dwayne_Johnson.jpg,Stimuli/Audio/People/Dwayne_Johnson.wav
64,subj1,1,3,L,O,Stimuli/Images/People/Michelle_Yeoh.jpg,Stimuli/Audio/People/Michelle_Yeoh.wav
65,subj1,1,3,L,O,Stimuli/Images/People/Sam_Wang.jpg,Stimuli/Audio/People/Sam_Wang.wav
66,subj1,1,3,L,O,Stimuli/Images/People/Angelina_Jolie.jpg,Stimuli/Audio/People/Angelina_Jolie.wav
67,subj1,1,3,L,O,Stimuli/Images/People/Mala_Murthy.jpg,Stimuli/Audio/People/Mala_Murthy.wav
68,subj1,1,3,L,O,Stimuli/Images/People/Justin_Bieber.jpg,Stimuli/Audio/People/Justin_Bieber.wav
69,subj1,1,3,L,O,Stimuli/Images/People/Tim_Buschman.jpg,Stimuli/Audio/People/Tim_Buschman.wav
70,subj1,1,3,L,O,Stimuli/Images/People/Hillary_Clinton.jpg,Stimuli/Audio/People/Hillary_Clinton.wav
71,subj1,1,3,L,O,Stimuli/Images/People/Dwayne_Johnson.jpg,Stimuli/Audio/People/Dwayne_Johnson.wav
